Original MSA,Matched MSA,CBSA Code,Confidence,Check
"Lafayette-West Lafayette, IN","Lafayette-West Lafayette, IN",29200,100,Y
"Lake Charles, LA","Lake Charles, LA",29340,100,Y
"Lake Havasu City-Kingman, AZ","Lake Havasu City-Kingman, AZ",29420,100,Y
"Lakeland-Winter Haven, FL","Lakeland-Winter Haven, FL",29460,100,Y
"Lancaster, PA","Lancaster, PA",29540,100,Y
"Laredo, TX","Laredo, TX",29700,100,Y
"Las Cruces, NM","Las Cruces, NM",29740,100,Y
"Lawton, OK","Lawton, OK",30020,100,Y
"Lexington-Fayette, KY","Lexington-Fayette, KY",30460,100,Y
"Lima, OH","Lima, OH",30620,100,Y
"Little Rock-North Little Rock-Conway, AR","Little Rock-North Little Rock-Conway, AR",30780,100,Y
"Longview, TX","Longview, TX",30980,100,Y
"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",31080,100,Y
"Louisville/Jefferson County, KY-IN","Louisville/Jefferson County, KY-IN",31140,100,Y
"Lubbock, TX","Lubbock, TX",31180,100,Y
"Lynchburg, VA","Lynchburg, VA",31340,100,Y
"Macon-Bibb County, GA","Macon-Bibb County, GA",31420,100,Y
"Madison, WI","Madison, WI",31540,100,Y
"Mansfield, OH","Mansfield, OH",31900,100,Y
"McAllen-Edinburg-Mission, TX","McAllen-Edinburg-Mission, TX",32580,100,Y
"Memphis, TN-MS-AR","Memphis, TN-MS-AR",32820,100,Y
"Merced, CA","Merced, CA",32900,100,Y
"Michigan City-La Porte, IN","Michigan City-La Porte, IN",33140,100,Y
"Midland, TX","Midland, TX",33260,100,Y
"Milwaukee-Waukesha, WI","Milwaukee-Waukesha, WI",33340,100,Y
"Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis-St. Paul-Bloomington, MN-WI",33460,100,Y
"Mobile, AL","Mobile, AL",33660,100,Y
"Modesto, CA","Modesto, CA",33700,100,Y
"Monroe, LA","Monroe, LA",33740,100,Y
"Montgomery, AL","Montgomery, AL",33860,100,Y
"Morgantown, WV","Morgantown, WV",34060,100,Y
"Morristown, TN","Morristown, TN",34100,100,Y
"Mount Vernon-Anacortes, WA","Mount Vernon-Anacortes, WA",34580,100,Y
"Naples-Marco Island, FL","Naples-Marco Island, FL",34940,100,Y
"Nashville-Davidson--Murfreesboro--Franklin, TN","Nashville-Davidson--Murfreesboro--Franklin, TN",34980,100,Y
"New Orleans-Metairie, LA","New Orleans-Metairie, LA",35380,100,Y
"Niles, MI","Niles, MI",35660,100,Y
"Ocala, FL","Ocala, FL",36100,100,Y
"Odessa, TX","Odessa, TX",36220,100,Y
"Oklahoma City, OK","Oklahoma City, OK",36420,100,Y
"Orlando-Kissimmee-Sanford, FL","Orlando-Kissimmee-Sanford, FL",36740,100,Y
"Oshkosh-Neenah, WI","Oshkosh-Neenah, WI",36780,100,Y
"Owensboro, KY","Owensboro, KY",36980,100,Y
"Oxnard-Thousand Oaks-Ventura, CA","Oxnard-Thousand Oaks-Ventura, CA",37100,100,Y
"Palm Bay-Melbourne-Titusville, FL","Palm Bay-Melbourne-Titusville, FL",37340,100,Y
"Parkersburg-Vienna, WV","Parkersburg-Vienna, WV",37620,100,Y
"Pensacola-Ferry Pass-Brent, FL","Pensacola-Ferry Pass-Brent, FL",37860,100,Y
"Peoria, IL","Peoria, IL",37900,100,Y
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,100,Y
"Phoenix-Mesa-Chandler, AZ","Phoenix-Mesa-Chandler, AZ",38060,100,Y
"Pine Bluff, AR","Pine Bluff, AR",38220,100,Y
"Pittsburgh, PA","Pittsburgh, PA",38300,100,Y
"Pocatello, ID","Pocatello, ID",38540,100,Y
"Port St. Lucie, FL","Port St. Lucie, FL",38940,100,Y
"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Hillsboro, OR-WA",38900,100,Y
"Prescott Valley-Prescott, AZ","Prescott Valley-Prescott, AZ",39150,100,Y
"Providence-Warwick, RI-MA","Providence-Warwick, RI-MA",39300,100,Y
"Punta Gorda, FL","Punta Gorda, FL",39460,100,Y
"Raleigh-Cary, NC","Raleigh-Cary, NC",39580,100,Y
"Reading, PA","Reading, PA",39740,100,Y
"Reno, NV","Reno, NV",39900,100,Y
"Richmond, VA","Richmond, VA",40060,100,Y
"Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA",40140,100,Y
"Roanoke, VA","Roanoke, VA",40220,100,Y
"Rockford, IL","Rockford, IL",40420,100,Y
"Rome, GA","Rome, GA",40660,100,Y
"Sacramento-Roseville-Folsom, CA","Sacramento-Roseville-Folsom, CA",40900,100,Y
"Salem, OR","Salem, OR",41420,100,Y
"San Angelo, TX","San Angelo, TX",41660,100,Y
"San Antonio-New Braunfels, TX","San Antonio-New Braunfels, TX",41700,100,Y
"San Diego-Chula Vista-Carlsbad, CA","San Diego-Chula Vista-Carlsbad, CA",41740,100,Y
"San Jose-Sunnyvale-Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA",41940,100,Y
"Santa Fe, NM","Santa Fe, NM",42140,100,Y
"Savannah, GA","Savannah, GA",42340,100,Y
"Scranton--Wilkes-Barre, PA","Scranton--Wilkes-Barre, PA",42540,100,Y
"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma-Bellevue, WA",42660,100,Y
"Sheboygan, WI","Sheboygan, WI",43100,100,Y
"Sherman-Denison, TX","Sherman-Denison, TX",43300,100,Y
"Shreveport-Bossier City, LA","Shreveport-Bossier City, LA",43340,100,Y
"Sierra Vista-Douglas, AZ","Sierra Vista-Douglas, AZ",43420,100,Y
"Sioux City, IA-NE-SD","Sioux City, IA-NE-SD",43580,100,Y
"South Bend-Mishawaka, IN-MI","South Bend-Mishawaka, IN-MI",43780,100,Y
"Spartanburg, SC","Spartanburg, SC",43900,100,Y
"Springfield, IL","Springfield, IL",44100,100,Y
"Springfield, MO","Springfield, MO",44180,100,Y
"Springfield, OH","Springfield, OH",44220,100,Y
"St. Louis, MO-IL","St. Louis, MO-IL",41180,100,Y
"Sumter, SC","Sumter, SC",44940,100,Y
"Syracuse, NY","Syracuse, NY",45060,100,Y
"Tallahassee, FL","Tallahassee, FL",45220,100,Y
